"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"248961_at";4061;NA;NA;NA;NA;NA;NA;0.2879;0.0926;"0,0003";0.6632;"0.0475";"0.0022"
"248967_at";4067;2.0392;"0.0891";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248975_at";4075;0.444;"0.0653";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249052_at";4152;2.6074;"0.0458";"0,0002";0.2626;0.0487;"0";NA;NA;NA;0.4112;"0.0025";"0"
"249093_at";4193;NA;NA;NA;0.2544;0.03;"0";NA;NA;NA;NA;NA;NA
"249121_at";4221;NA;NA;NA;2.6363;0.0681;"0,0002";NA;NA;NA;1.8163;"0.0019";"0"
"249125_at";4225;0.4736;"0.0815";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249136_at";4236;0.4616;"0.0756";"0,0004";NA;NA;NA;NA;NA;NA;0.3374;"0,0004";"0"
"249190_at";4290;NA;NA;NA;2.7508;0.0596;"0,0001";NA;NA;NA;2.8758;"0,0002";"0"
"249355_at";4455;0.465;"0.0769";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249378_at";4478;0.4308;"0.0562";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249409_at";4509;0.4587;"0.0739";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249417_at";4517;2.4699;"0.0548";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249494_at";4594;2.1371;"0.0721";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249527_at";4627;2.3004;"0.0611";"0,0003";NA;NA;NA;NA;NA;NA;2.9032;"0,0001";"0"
"249645_at";4745;0.3974;"0.0448";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
