"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"246515_at";"1615";"1.0923";"0.8838";"0.6094";"1.0572";"0.2398"
"246516_at";"1616";"0.7574";"0.4957";"0.0237";"1.0344";"0.9903"
"246517_at";"1617";"0.8063";"0.634";"0.0443";"1.0499";"0.9746"
"246518_at";"1618";"1.1338";"1.0594";"0.9525";"0.8411";"0.1128"
"246519_at";"1619";"0.7096";"0.4161";"0.0142";"1.0261";"0.9948"
"246520_at";"1620";"0.9613";"1.2217";"0.3081";"0.9971";"0.7886"
"246521_at";"1621";"1.2556";"1.0392";"0.9844";"0.61";"0.0381"
"246522_at";"1622";"0.816";"0.707";"0.0619";"1.0542";"0.9219"
"246523_at";"1623";"0.8455";"0.7826";"0.0823";"1.0548";"0.9263"
"246524_at";"1624";"1.001";"0.9741";"0.7042";"1.288";"0.4852"
"246525_at";"1625";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246526_at";"1626";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246527_at";"1627";"0.9282";"1.0278";"0.1893";"1.0346";"0.8752"
"246528_at";"1628";"0.9045";"0.8921";"0.1232";"1.0576";"0.9481"
"246529_at";"1629";"0.8704";"0.7995";"0.0871";"1.0546";"0.9608"
"246530_at";"1630";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246531_at";"1631";"9.4594";"1.0009";"1";"0.0008";"0"
"246532_at";"1632";"1.3601";"1.0248";"0.9943";"0.4464";"0.0149"
"246533_at";"1633";"1.2313";"0.9884";"0.7666";"0.6963";"0.0609"
"246534_at";"1634";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246535_at";"1635";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246536_at";"1636";"1.184";"0.9827";"0.7519";"0.7345";"0.0715"
"246537_at";"1637";"1.0461";"0.989";"0.7683";"1.1663";"0.3125"
"246538_at";"1638";"0.8847";"0.9263";"0.1397";"1.0094";"0.8224"
"246539_at";"1639";"0.9329";"0.9811";"0.1653";"1.0542";"0.9232"
"246540_at";"1640";"0.5511";"0.1639";"0.002";"1.0147";"0.9987"
"246541_at";"1641";"1.041";"0.9806";"0.7444";"1.1742";"0.3172"
"246542_at";"1642";"0.9792";"1.2275";"0.3123";"1.2842";"0.4351"
"246543_at";"1643";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246544_at";"1644";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246545_at";"1645";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246546_at";"1646";"1.0439";"1.0552";"0.8825";"1.0731";"0.2509"
"246547_at";"1647";"0.9543";"1.0634";"0.2063";"1.0474";"0.9044"
"246548_at";"1648";"0.9726";"1.3071";"0.4331";"0.8703";"0.6279"
"246549_at";"1649";"0.905";"0.9737";"0.1621";"1.0009";"0.8015"
"246550_at";"1650";"0.9945";"1.3214";"0.4666";"1.3243";"0.5478"
"246551_at";"1651";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246552_at";"1652";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246553_at";"1653";"0.9009";"0.8831";"0.1199";"1.0565";"0.9411"
"246554_at";"1654";"1.1424";"1.0641";"0.9396";"0.8396";"0.1118"
"246555_at";"1655";"0.8583";"0.9346";"0.1425";"0.9041";"0.6573"
"246556_at";"1656";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246557_at";"1657";"1.0069";"1.3111";"0.4556";"1.2864";"0.4405"
"246558_at";"1658";"0.9639";"1.2484";"0.3323";"1.3064";"0.5228"
"246559_at";"1659";"1.0306";"1.3081";"0.4428";"1.2314";"0.3702"
"246560_at";"1660";"1.0388";"1.3884";"0.5592";"1.2527";"0.3928"
"246561_at";"1661";"0.9728";"1.27";"0.3553";"1.2881";"0.4751"
"246562_at";"1662";"0.6966";"0.3746";"0.0117";"1.0243";"0.9957"
"246563_at";"1663";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246564_at";"1664";"1.0362";"0.9764";"0.6932";"1.2042";"0.3448"
"246565_at";"1665";"0.8536";"0.7498";"0.0738";"1.0541";"0.9643"
"246566_at";"1666";"0.9085";"0.9012";"0.1286";"1.0574";"0.9443"
"246567_at";"1667";"1.286";"1.0479";"0.8688";"0.6404";"0.0458"
"246568_at";"1668";"1.0305";"1.016";"0.8189";"1.1968";"0.3372"
"246569_at";"1669";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246570_at";"1670";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246571_at";"1671";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246572_at";"1672";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246573_at";"1673";"0.6314";"0.3112";"0.0074";"1.0501";"0.9745"
"246574_at";"1674";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246575_at";"1675";"1.0942";"1.0056";"0.8024";"1.0433";"0.2312"
