"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"258616_at";"13716";"1.3618";"1.0241";"0.9997";"0.0733";"0.0023"
"258617_at";"13717";"1.1895";"1.0679";"0.8012";"0.4868";"0.0676"
"258618_at";"13718";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258619_at";"13719";"1.1216";"1.1064";"0.915";"0.6146";"0.1022"
"258620_at";"13720";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258621_at";"13721";"1.4011";"1.0598";"0.9957";"0.0501";"0.0013"
"258622_at";"13722";"1.1704";"1.0603";"0.9956";"0.3641";"0.0386"
"258623_at";"13723";"0.8101";"0.215";"0.0163";"1.0676";"0.9987"
"258624_at";"13724";"0.8345";"0.2877";"0.0248";"1.0768";"0.9974"
"258625_at";"13725";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258626_at";"13726";"2.2361";"1.0047";"1";"0.0001";"0"
"258627_at";"13727";"1.1947";"1.0794";"0.9902";"0.3307";"0.0321"
"258628_at";"13728";"0.9579";"1.1497";"0.2414";"1.4388";"0.5552"
"258629_at";"13729";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258630_at";"13730";"1.2456";"1.0357";"0.9991";"0.1931";"0.012"
"258631_at";"13731";"0.9513";"1.082";"0.214";"1.1077";"0.9547"
"258632_s_at";"13732";"1.1235";"1.1097";"0.9416";"0.65";"0.1141"
"258633_at";"13733";"1.0094";"1.5806";"0.4948";"1.3809";"0.5088"
"258634_at";"13734";"1.1524";"1.0977";"0.8788";"0.4655";"0.0621"
"258635_at";"13735";"0.9033";"0.8698";"0.1421";"1.0133";"0.7635"
"258636_at";"13736";"0.8388";"0.3774";"0.037";"1.1039";"0.9844"
"258637_at";"13737";"0.9825";"1.5102";"0.4319";"1.0339";"0.7882"
"258638_at";"13738";"1.2307";"1.1096";"0.9455";"0.2958";"0.0264"
"258639_at";"13739";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258640_at";"13740";"1.0779";"1.6339";"0.5521";"0.6979";"0.1299"
"258641_at";"13741";"0.5022";"0.0063";"0.0001";"1.0198";"1"
"258642_at";"13742";"1.0982";"1.1074";"0.9558";"0.7078";"0.1336"
"258643_at";"13743";"1.0379";"1.6877";"0.6817";"0.9634";"0.2432"
"258644_at";"13744";"0.9863";"1.3585";"0.3382";"1.5033";"0.625"
"258645_s_at";"13745";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258646_at";"13746";"0.0442";"0";"0";"1.0002";"1"
"258647_at";"13747";"1.0757";"1.0245";"0.6826";"0.7814";"0.162"
"258648_at";"13748";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258649_at";"13749";"0.9698";"1.4663";"0.4009";"1.5318";"0.7322"
"258650_at";"13750";"1.2503";"1.0397";"0.9987";"0.1897";"0.0116"
"258651_at";"13751";"1.0091";"1.3708";"0.345";"1.4968";"0.6607"
"258652_at";"13752";"1.0124";"1.3443";"0.3304";"1.3262";"0.4658"
"258653_at";"13753";"1.0005";"1.055";"0.7519";"1.4984";"0.66"
"258654_at";"13754";"1.0391";"1.1043";"0.9049";"1.1418";"0.3394"
"258655_at";"13755";"1.1243";"1.108";"0.9259";"0.6209";"0.1042"
"258656_at";"13756";"1.2014";"1.0603";"0.9956";"0.2543";"0.0199"
"258657_at";"13757";"0.8519";"0.4564";"0.0502";"1.108";"0.9597"
"258658_at";"13758";"1.0914";"1.1075";"0.9244";"0.7339";"0.1437"
"258659_at";"13759";"0.8747";"0.4558";"0.05";"1.0943";"0.9926"
"258660_at";"13760";"0.9727";"1.1262";"0.2312";"1.5261";"0.7224"
"258661_at";"13761";"1.6445";"1.0127";"1";"0.0077";"0.0001"
"258662_at";"13762";"1.0062";"1.415";"0.3709";"1.3501";"0.4827"
"258663_at";"13763";"1.0316";"1.0326";"0.6942";"1.4196";"0.5388"
"258664_at";"13764";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258665_at";"13765";"0.844";"0.3319";"0.0306";"1.0829";"0.9961"
"258666_at";"13766";"1.0888";"1.0895";"0.9843";"0.6777";"0.1232"
"258667_at";"13767";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258668_at";"13768";"1.0056";"1.6416";"0.6031";"1.5043";"0.6259"
"258669_at";"13769";"1";"1.06";"0.749";"1.4846";"0.6655"
"258670_at";"13770";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258671_at";"13771";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258672_at";"13772";"0.7984";"0.2829";"0.0242";"1.1087";"0.9671"
"258673_at";"13773";"1.0393";"1.065";"0.7949";"1.1613";"0.3515"
"258674_at";"13774";"1.0273";"1.639";"0.5976";"1.1658";"0.3547"
"258675_at";"13775";"0.9629";"1.164";"0.2477";"1.0902";"0.9082"
"258676_at";"13776";"1.4105";"1.0214";"0.9998";"0.0512";"0.0013"
"258677_at";"13777";"1.1979";"1.0548";"0.9967";"0.2656";"0.0218"
"258678_at";"13778";"1.0186";"1.6579";"0.6234";"1.3292";"0.4674"
"258679_at";"13779";"0.9853";"1.4299";"0.3796";"1.5341";"0.7358"
"258680_at";"13780";"0.9368";"1.0195";"0.1899";"1.0975";"0.9268"
"258681_at";"13781";"1.1091";"1.0832";"0.9885";"0.5917";"0.0949"
"258682_at";"13782";"1.2153";"1.0556";"0.9965";"0.2504";"0.019"
"258683_at";"13783";"1.0936";"1.6315";"0.5487";"0.6759";"0.1227"
"258684_at";"13784";"1.0125";"1.6013";"0.5152";"1.2211";"0.3898"
"258685_at";"13785";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258686_at";"13786";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258687_at";"13787";"1.1341";"1.0726";"0.9926";"0.4652";"0.0621"
"258688_at";"13788";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258689_at";"13789";"1.2474";"1.0424";"0.9984";"0.1843";"0.011"
"258690_at";"13790";"1.0006";"1.0562";"0.7507";"1.5069";"0.6539"
"258691_at";"13791";"1.4125";"1.0185";"0.9999";"0.0461";"0.0011"
"258692_at";"13792";"1.0167";"1.6499";"0.6152";"1.3224";"0.4621"
"258693_at";"13793";"1.0813";"1.0788";"0.8274";"0.8823";"0.2042"
"258694_at";"13794";"0.8048";"0.6648";"0.0894";"1.0924";"0.9143"
"258695_at";"13795";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258696_at";"13796";"1.1207";"1.0791";"0.9903";"0.5188";"0.0748"
"258697_at";"13797";"1.2155";"1.0522";"0.9971";"0.2554";"0.02"
"258698_at";"13798";"1.3459";"1.021";"0.9998";"0.0852";"0.003"
"258699_at";"13799";"1.0466";"1.052";"0.7637";"1.0315";"0.2782"
"258700_at";"13800";"1.0733";"1.0859";"0.8465";"0.8315";"0.1831"
"258701_at";"13801";"0.8648";"0.4428";"0.0476";"1.104";"0.9842"
"258702_at";"13802";"0.925";"0.8749";"0.1441";"1.1006";"0.9354"
"258703_at";"13803";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258704_at";"13804";"0.7176";"0.0922";"0.0051";"1.0599";"0.9993"
"258705_at";"13805";"1.0963";"1.0932";"0.8635";"0.7282";"0.1413"
"258706_at";"13806";"1.1369";"1.1091";"0.9383";"0.5108";"0.0729"
"258707_at";"13807";"0.979";"1.4801";"0.4109";"1.3746";"0.5024"
"258708_at";"13808";"1.2532";"1.0396";"0.9987";"0.1949";"0.0122"
"258709_at";"13809";"0.989";"1.603";"0.5172";"1.5024";"0.6238"
"258710_s_at";"13810";"1.0538";"1.6421";"0.6022";"0.8484";"0.1906"
"258711_at";"13811";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258712_s_at";"13812";"0.9405";"1.0491";"0.2005";"1.0479";"0.8297"
"258713_at";"13813";"1.0172";"1.5933";"0.5075";"1.1242";"0.3285"
"258714_at";"13814";"0.787";"0.1602";"0.0108";"1.0607";"0.9992"
"258715_at";"13815";"0.9895";"1.3988";"0.3611";"1.0429";"0.8202"
"258716_at";"13816";"1.0845";"1.0748";"0.819";"0.8257";"0.1806"
"258717_at";"13817";"1.0008";"1.6351";"0.5905";"1.5058";"0.6286"
"258718_at";"13818";"1.0916";"1.1016";"0.8949";"0.7555";"0.1518"
"258719_at";"13819";"0.9576";"1.1272";"0.2315";"1.4435";"0.5614"
"258720_at";"13820";"1";"1.0658";"0.7459";"1.4901";"0.6636"
"258721_at";"13821";"1.3158";"1.094";"0.9793";"0.1236";"0.0054"
"258722_at";"13822";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258723_at";"13823";"1.3548";"1.0257";"0.9997";"0.0737";"0.0023"
"258724_at";"13824";"1.663";"1.0158";"0.9999";"0.0068";"0.0001"
"258725_at";"13825";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258726_at";"13826";"1.0664";"1.0989";"0.9748";"0.7912";"0.1663"
"258727_at";"13827";"0.2346";"0.0001";"0";"1.0051";"1"
"258728_at";"13828";"0.936";"1.0642";"0.2065";"1.0859";"0.9023"
"258729_at";"13829";"1.157";"1.0677";"0.994";"0.3828";"0.0428"
"258730_at";"13830";"1.0145";"1.6391";"0.5985";"1.4482";"0.5679"
"258731_at";"13831";"1.0903";"1.0518";"0.7589";"0.8136";"0.1757"
"258732_at";"13832";"0.99";"1.6328";"0.551";"1.5406";"0.7413"
"258733_at";"13833";"1.1358";"1.072";"0.8085";"0.583";"0.0922"
"258734_at";"13834";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258735_at";"13835";"1.0166";"1.634";"0.5526";"1.3298";"0.4679"
"258736_at";"13836";"1.1693";"1.1054";"0.9626";"0.369";"0.0396"
"258737_at";"13837";"1.0644";"1.6581";"0.6236";"1.097";"0.314"
